
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 21 July 2021]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","Social rented"

"Cornwall 001A","E01018936",7.7
"Cornwall 001B","E01018937",31.3
"Cornwall 001C","E01018938",18.6
"Cornwall 001D","E01018959",1.3
"Cornwall 001E","E01018960",10.8
"Cornwall 001F","E01018961",5.8
"Cornwall 002A","E01018943",7.6
"Cornwall 002B","E01018951",7.5
"Cornwall 002C","E01018974",9.6
"Cornwall 003A","E01018940",4.2
"Cornwall 003B","E01018941",15.2
"Cornwall 003C","E01018942",5.9
"Cornwall 003D","E01018969",4.9
"Cornwall 004B","E01018953",5.4
"Cornwall 004C","E01018968",4.8
"Cornwall 004D","E01033291",2.6
"Cornwall 004E","E01033292",31.6
"Cornwall 005A","E01018946",18.0
"Cornwall 005B","E01018947",13.8
"Cornwall 005C","E01018948",7.9
"Cornwall 005D","E01018949",41.1
"Cornwall 005E","E01018950",8.0
"Cornwall 006A","E01018925",5.5
"Cornwall 006B","E01018952",3.2
"Cornwall 006C","E01018965",4.7
"Cornwall 006D","E01018966",3.6
"Cornwall 006E","E01018967",6.9
"Cornwall 007A","E01018924",4.7
"Cornwall 007B","E01018962",14.6
"Cornwall 007E","E01033289",13.5
"Cornwall 008A","E01018954",7.1
"Cornwall 008B","E01018955",12.4
"Cornwall 008C","E01018956",8.2
"Cornwall 008D","E01018957",11.8
"Cornwall 008E","E01018958",30.0
"Cornwall 009A","E01018970",4.7
"Cornwall 009B","E01018971",11.6
"Cornwall 009C","E01018972",25.2
"Cornwall 009D","E01018973",13.2
"Cornwall 010A","E01018753",3.2
"Cornwall 010B","E01018754",22.8
"Cornwall 010C","E01018755",1.5
"Cornwall 010D","E01018756",6.4
"Cornwall 011A","E01018923",9.0
"Cornwall 011B","E01018926",7.5
"Cornwall 011C","E01018944",15.2
"Cornwall 011D","E01018945",3.7
"Cornwall 012A","E01018777",8.0
"Cornwall 012B","E01018782",11.1
"Cornwall 012C","E01018783",4.5
"Cornwall 012D","E01018784",7.7
"Cornwall 013A","E01018750",5.2
"Cornwall 013B","E01018751",27.0
"Cornwall 013C","E01018752",7.8
"Cornwall 013D","E01018779",7.6
"Cornwall 014A","E01018932",23.3
"Cornwall 014B","E01018933",18.0
"Cornwall 014C","E01018934",4.1
"Cornwall 014D","E01018935",10.2
"Cornwall 015A","E01018927",17.7
"Cornwall 015B","E01018928",30.0
"Cornwall 015C","E01018929",8.3
"Cornwall 015D","E01018930",59.2
"Cornwall 015E","E01018931",11.0
"Cornwall 016A","E01018758",15.1
"Cornwall 016B","E01018768",12.3
"Cornwall 016C","E01018769",12.3
"Cornwall 016D","E01018778",12.6
"Cornwall 017A","E01018767",45.6
"Cornwall 017B","E01018770",38.6
"Cornwall 017C","E01018771",9.2
"Cornwall 017D","E01018772",2.3
"Cornwall 018A","E01019048",1.4
"Cornwall 018B","E01019049",9.0
"Cornwall 018C","E01019050",1.5
"Cornwall 018D","E01019051",27.7
"Cornwall 019A","E01019060",5.1
"Cornwall 019B","E01019061",5.6
"Cornwall 019C","E01019062",24.5
"Cornwall 019D","E01019063",2.8
"Cornwall 019E","E01019064",2.7
"Cornwall 019F","E01019065",11.5
"Cornwall 020A","E01019028",19.0
"Cornwall 020B","E01019029",11.2
"Cornwall 020C","E01019030",4.3
"Cornwall 020D","E01019031",8.6
"Cornwall 021A","E01019018",2.6
"Cornwall 021B","E01019019",7.4
"Cornwall 021C","E01019020",14.4
"Cornwall 021D","E01019021",1.8
"Cornwall 021E","E01019022",23.1
"Cornwall 021F","E01019023",6.5
"Cornwall 022A","E01018764",3.9
"Cornwall 022B","E01018787",1.8
"Cornwall 022C","E01018795",1.6
"Cornwall 022D","E01018796",1.6
"Cornwall 023A","E01018757",4.5
"Cornwall 023B","E01018763",10.1
"Cornwall 023C","E01018765",12.2
"Cornwall 023D","E01018785",10.7
