codes,smr
E01000001,0.654435968
E01000002,1.150339084
E01000003,1.597192032
E01000005,1.488219126
E01000006,0.80211925
E01000007,1.194481573
E01000008,2.02877981
E01000009,1.735962435
E01000010,1.336242414
E01000011,1.122951201
E01000012,2.301991164
E01000013,1.876484629
E01000014,1.769384176
E01000015,1.479576517
E01000016,1.486937773
E01000017,1.116038737
E01000018,2.143797149
E01000019,1.701744569
E01000020,1.500222469
E01000021,2.388219843
E01000022,1.523771185
E01000023,1.128361399
E01000024,0.879491252
E01000025,1.434524366
E01000027,1.411724595
E01000028,2.534692599
E01000029,1.466160796
E01000030,1.154881148
E01000031,1.416645474
E01000032,1.488716324
E01000033,1.297990329
E01000034,1.9628868
E01000035,1.526573947
E01000036,1.80674819
E01000037,1.417687583
E01000038,1.185328797
E01000039,1.023977103
E01000040,1.733571379
E01000041,1.507446404
E01000042,1.33644923
E01000043,1.384913208
E01000044,1.400448502
E01000045,1.430353027
E01000046,1.220556637
E01000048,0.855247862
E01000049,2.188007147
E01000050,1.91103406
E01000051,1.010051804
E01000052,1.041796145
E01000053,1.273503095
E01000054,1.578025633
E01000055,0.534446052
E01000056,2.059084413
E01000057,2.210565929
E01000058,1.186261812
E01000059,1.350242644
E01000060,1.668817426
E01000061,2.599263241
E01000062,1.319791861
E01000063,0.97234718
E01000064,2.064076079
E01000065,1.709897237
E01000066,1.325882823
E01000067,1.040466202
E01000068,1.257508135
E01000069,1.694318278
E01000070,1.176855382
E01000071,0.689634139
E01000072,1.799945419
E01000073,1.882844622
E01000074,2.327013859
E01000075,1.570070249
E01000076,1.704122253
E01000077,1.469583589
E01000078,1.374221816
E01000079,1.685665684
E01000080,1.230162616
E01000081,1.134869404
E01000082,1.277627305
E01000083,1.634185695
E01000084,0.963432808
E01000085,1.585654496
E01000086,1.619216067
E01000087,1.876795325
E01000088,1.063469886
E01000089,1.639509321
E01000090,1.193897295
E01000091,1.478798061
E01000092,1.420668613
E01000093,1.502696876
E01000094,1.158403588
E01000095,1.107298946
E01000096,1.288978202
E01000097,2.257041834
E01000098,1.609636162
E01000099,1.495828501
E01000100,1.991977647
E01000101,2.027191207
E01000102,1.411451863
E01000103,1.240308665
E01000104,1.774993677
E01000105,1.364798765
E01000106,1.139566127
E01000107,1.45002108
E01000108,2.119501528
E01000109,1.578295885
E01000110,1.432508652
E01000111,1.506551192
E01000112,0.931582633
E01000113,0.870051637
E01000114,1.530266345
E01000115,1.652533004
E01000116,0.998483933
E01000117,0.691706936
E01000118,1.533675147
E01000119,0.631806253
E01000120,1.092767158
E01000121,2.325353464
E01000122,1.162319505
E01000123,0.590842809
E01000124,1.742791983
E01000125,1.63464888
E01000126,1.684708301
E01000127,1.114422777
E01000128,1.779405362
E01000129,1.639495627
E01000130,1.224548054
E01000131,1.258375318
E01000132,1.443913761
E01000133,1.232273293
E01000134,0.932680155
E01000135,0.948242176
E01000136,0.833434118
E01000137,1.719464458
E01000138,1.718061371
E01000139,0.882486276
E01000140,1.717993607
E01000141,1.526551302
E01000142,1.253419221
E01000143,2.41639394
E01000144,0.728503484
E01000145,0.765615792
E01000146,1.23336665
E01000147,0.80171281
E01000148,1.67925212
E01000150,1.459755411
E01000151,1.55317896
E01000152,1.479017804
E01000153,0.884654148
E01000154,0.883738504
E01000155,1.040944569
E01000156,0.774119882
E01000157,1.275081547
E01000158,1.786665975
E01000159,2.000497117
E01000160,0.67122052
E01000161,0.631439693
E01000162,1.694991516
E01000163,1.325589575
E01000164,0.804644294
E01000165,0.931559194
E01000166,0.753792999
E01000167,2.377565623
E01000168,0.734221834
E01000169,0.518510013
E01000170,1.867266924
E01000171,1.111259327
E01000172,1.145395677
E01000173,0.553573916
E01000174,1.367763989
E01000175,0.852800275
E01000176,1.234555139
E01000177,0.884499861
E01000178,0.901649097
E01000179,1.525837658
E01000180,0.994194445
E01000181,0.28198047
E01000182,1.614084331
E01000183,1.387793359
E01000184,0.954544582
E01000185,2.060038602
E01000186,0.686895458
E01000187,1.050052882
E01000188,0.775834888
E01000189,2.084893848
E01000190,1.318643932
E01000191,1.554522024
E01000192,0.850787761
E01000193,1.244426914
E01000194,1.474865259
E01000195,1.741645017
E01000196,0.758057826
E01000197,0.993394517
