Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01000907,Camden 001A,137,73.5,7.3,8.5,7.9,2.8,26.5,30223
E01000908,Camden 001B,94,72.4,8.7,6.2,8.0,4.7,27.6,32049
E01000909,Camden 001C,72,84.1,5.5,4.6,2.9,2.9,15.9,58469
E01000912,Camden 001D,18,77.3,5.6,5.1,9.2,2.8,22.7,31551
E01000913,Camden 001E,11,88.2,5.1,4.7,1.3,0.7,11.8,73024
E01000893,Camden 002A,30,88.1,4.5,4.8,1.0,1.5,11.9,64138
E01000894,Camden 002B,62,84.2,3.5,8.4,1.5,2.4,15.8,72739
E01000895,Camden 002C,166,79.8,7.0,8.0,3.1,2.1,20.2,53603
E01000896,Camden 002D,113,84.8,4.6,6.7,2.2,1.7,15.2,70351
E01000899,Camden 002E,16,87.1,3.9,5.9,1.4,1.7,12.9,76166
E01000910,Camden 003A,122,84.2,7.0,4.2,2.9,1.7,15.8,64961
E01000911,Camden 003B,184,78.0,5.3,6.7,7.0,3.0,22.0,37176
E01000921,Camden 003C,164,76.4,7.8,7.8,6.1,1.9,23.6,35597
E01000923,Camden 003D,173,79.1,6.3,7.2,5.4,2.0,20.9,45322
E01000928,Camden 003E,67,74.5,6.2,9.5,6.7,3.2,25.5,35656
E01000878,Camden 004A,114,68.5,6.6,16.9,4.1,3.9,31.5,56251
E01000879,Camden 004B,80,80.4,4.8,8.8,2.3,3.7,19.6,64715
E01000880,Camden 004C,76,75.8,6.2,12.0,2.2,3.9,24.2,69876
E01000884,Camden 004D,60,79.9,5.8,9.5,2.2,2.7,20.1,71430
E01000885,Camden 004E,49,75.7,7.1,10.6,1.3,5.1,24.3,78339
E01000871,Camden 005A,57,70.3,7.0,12.3,4.7,5.8,29.7,50050
E01000872,Camden 005B,137,66.9,7.0,14.5,7.4,4.2,33.1,32194
E01000873,Camden 005C,134,81.3,4.0,6.8,4.6,3.4,18.7,54005
E01000874,Camden 005D,189,75.6,4.7,11.8,2.3,5.6,24.4,57465
E01000877,Camden 005E,146,79.1,5.3,8.6,3.2,3.8,20.9,54472
E01000886,Camden 006A,150,82.8,7.2,5.5,2.6,1.9,17.2,50302
E01000887,Camden 006B,151,77.1,6.2,9.7,2.7,4.3,22.9,44663
E01000888,Camden 006C,178,77.6,6.6,8.7,4.9,2.3,22.4,43520
E01000892,Camden 006D,154,74.4,5.9,11.3,5.8,2.6,25.6,43769
E01000903,Camden 006E,143,74.1,5.1,13.2,5.1,2.4,25.9,43891
E01000889,Camden 007A,150,60.9,8.4,14.8,11.7,4.3,39.1,25438
E01000890,Camden 007B,229,61.0,5.5,13.9,14.6,5.0,39.0,20034
E01000891,Camden 007C,207,56.7,6.2,17.7,15.7,3.8,43.3,19956
E01000901,Camden 007D,199,49.8,7.6,23.6,13.8,5.2,50.2,23151
E01000922,Camden 007E,92,72.3,7.6,7.1,10.8,2.3,27.7,30870
E01000927,Camden 007F,182,76.8,6.5,8.6,5.6,2.4,23.2,43205
E01000881,Camden 008A,109,67.9,8.0,16.4,5.2,2.6,32.1,48802
E01000882,Camden 008B,136,80.9,4.8,9.9,1.4,3.0,19.1,66131
E01000883,Camden 008C,102,64.1,5.2,24.1,2.3,4.2,35.9,50701
E01000897,Camden 008D,78,79.5,6.1,11.0,0.9,2.6,20.5,72916
E01000898,Camden 008E,112,58.5,8.7,19.5,8.8,4.4,41.5,44230
E01000866,Camden 009A,137,70.6,6.3,9.5,9.1,4.5,29.4,33436
E01000870,Camden 009B,137,74.8,5.8,7.6,10.3,1.5,25.2,31544
E01000924,Camden 009C,173,78.7,5.7,8.2,5.3,2.0,21.3,40620
E01000925,Camden 009D,199,55.3,4.7,18.7,19.0,2.2,44.7,24857
E01000926,Camden 009E,200,59.3,4.5,20.4,7.6,8.3,40.7,32990
E01000969,Camden 010A,120,74.5,5.6,13.7,2.9,3.3,25.5,54854
E01000970,Camden 010B,216,81.4,4.4,8.2,3.1,2.9,18.6,48915
E01000971,Camden 010C,189,80.9,4.9,9.9,1.9,2.4,19.1,55958
E01000972,Camden 010D,150,56.9,6.3,15.8,16.3,4.6,43.1,30164
E01000973,Camden 010E,84,63.2,6.3,16.5,10.6,3.4,36.8,33620
E01000842,Camden 011A,148,81.0,4.6,9.2,2.4,2.9,19.0,62118
E01000844,Camden 011B,163,75.5,5.6,14.2,2.1,2.5,24.5,61186
E01000848,Camden 011C,163,78.8,4.7,10.1,1.7,4.7,21.2,60261
E01000849,Camden 011D,219,76.0,5.6,12.5,2.8,3.1,24.0,50928
E01000900,Camden 012A,192,72.2,4.9,8.7,11.0,3.3,27.8,31182
E01000902,Camden 012B,182,53.1,7.9,17.6,15.0,6.3,46.9,24571
E01000904,Camden 012C,193,66.3,6.9,12.6,11.1,3.1,33.7,29190
E01000905,Camden 012D,245,52.1,4.7,20.4,18.9,3.8,47.9,21024
E01000906,Camden 012E,115,77.5,5.4,9.3,4.3,3.5,22.5,48841
E01000875,Camden 013A,155,67.5,6.3,13.4,8.6,4.2,32.5,33219
E01000876,Camden 013B,155,58.4,7.3,12.8,15.7,5.9,41.6,28093
E01000931,Camden 013C,142,59.0,6.0,11.7,15.4,8.0,41.0,25729
E01000932,Camden 013D,282,69.7,5.0,12.6,8.3,4.4,30.3,37270
E01000974,Camden 013E,157,61.0,6.8,11.8,15.2,5.2,39.0,29982
E01000843,Camden 014A,214,71.2,6.1,12.8,7.0,2.9,28.8,44503
E01000845,Camden 014B,131,78.1,4.9,11.0,4.4,1.6,21.9,53278
E01000846,Camden 014C,190,58.7,5.6,14.1,17.5,4.1,41.3,34028
E01000847,Camden 014D,174,59.3,5.6,19.9,11.1,4.2,40.7,35289
E01000864,Camden 015A,155,73.6,5.3,9.4,8.2,3.4,26.4,38957
E01000865,Camden 015B,142,74.3,4.2,16.6,3.6,1.3,25.7,47904
E01000867,Camden 015C,191,59.3,5.6,22.2,10.0,3.0,40.7,26792
E01000868,Camden 015D,168,47.6,6.8,17.6,25.8,2.1,52.4,24521
E01000869,Camden 015E,185,72.5,7.3,9.0,8.9,2.4,27.5,34563
E01000962,Camden 016A,178,74.7,4.2,15.1,3.1,2.9,25.3,57954
E01000964,Camden 016B,129,74.6,4.2,12.6,5.3,3.2,25.4,45755
E01000965,Camden 016C,148,71.4,5.0,14.0,5.1,4.5,28.6,44410
E01000966,Camden 016D,120,83.9,3.4,9.7,0.9,2.2,16.1,63943
E01000968,Camden 016E,188,74.6,5.4,12.6,4.7,2.8,25.4,46075
E01000960,Camden 017A,169,61.2,4.9,23.9,5.1,5.0,38.8,41451
E01000961,Camden 017B,142,53.7,4.3,24.5,11.3,6.3,46.3,30385
E01000963,Camden 017C,111,51.7,3.8,30.7,5.5,8.2,48.3,52918
E01000967,Camden 017D,38,75.6,4.0,13.1,3.8,3.4,24.4,60568
E01000857,Camden 018A,186,80.8,4.8,9.5,2.8,2.1,19.2,47797
E01000858,Camden 018B,90,57.8,7.4,15.3,14.9,4.5,42.2,27282
E01000859,Camden 018C,155,86.9,5.1,4.8,2.0,1.3,13.1,61120
E01000860,Camden 018D,65,82.9,3.8,6.9,4.0,2.4,17.1,44797
E01000862,Camden 018E,101,82.0,4.0,6.8,3.0,4.1,18.0,62468
E01000856,Camden 019A,142,57.1,7.2,21.8,10.9,3.0,42.9,27044
E01000861,Camden 019B,134,69.5,5.3,14.7,8.3,2.3,30.5,30135
E01000957,Camden 019C,141,61.1,5.2,14.9,14.9,3.8,38.9,28624
E01000958,Camden 019D,103,54.0,7.6,19.9,12.5,6.1,46.0,27133
E01000959,Camden 019E,228,55.6,4.7,23.9,12.7,3.1,44.4,22347
E01000929,Camden 020A,186,53.4,6.1,14.9,16.4,9.1,46.6,26403
E01000930,Camden 020B,171,58.4,4.8,10.5,14.1,12.3,41.6,24061
E01000933,Camden 020C,164,73.0,5.1,10.4,5.4,6.1,27.0,37278
E01000934,Camden 020D,195,51.6,4.9,22.9,15.1,5.6,48.4,25033
E01000935,Camden 020E,244,52.3,5.6,13.1,22.8,6.2,47.7,25247
E01000863,Camden 021A,97,76.6,3.7,9.9,7.6,2.2,23.4,40815
E01000946,Camden 021B,34,64.6,4.4,18.1,7.5,5.4,35.4,38675
E01000947,Camden 021C,130,63.7,4.9,17.1,10.8,3.5,36.3,29657
E01000948,Camden 021D,93,74.0,5.0,9.7,7.8,3.6,26.0,40748
E01000952,Camden 022A,207,51.2,5.2,24.8,15.0,3.8,48.8,24012
E01000953,Camden 022B,34,46.8,3.7,32.5,13.1,3.8,53.2,23027
E01000954,Camden 022C,326,44.1,5.7,25.9,19.3,5.0,55.9,21566
E01000955,Camden 022D,253,51.5,7.5,22.6,13.7,4.6,48.5,22567
E01000956,Camden 022E,104,41.2,5.6,35.4,13.8,4.0,58.8,25464
E01000944,Camden 023A,346,48.2,5.0,28.8,9.3,8.7,51.8,23637
E01000945,Camden 023B,62,46.8,4.8,33.9,10.6,3.8,53.2,27236
E01000949,Camden 023C,264,59.8,5.1,21.9,10.5,2.7,40.2,29196
E01000950,Camden 023D,213,39.7,3.3,38.8,12.1,6.1,60.3,20176
E01000951,Camden 023E,327,46.4,4.2,31.8,12.1,5.6,53.6,21727
E01000936,Camden 024A,203,48.9,7.3,25.9,15.2,2.6,51.1,28382
E01000938,Camden 024B,218,46.1,5.1,25.3,18.4,5.1,53.9,26281
E01000939,Camden 024C,163,33.4,5.1,44.8,13.4,3.3,66.6,23517
E01000940,Camden 024D,254,51.3,6.2,29.4,9.4,3.7,48.7,28095
E01000853,Camden 025A,282,59.7,6.0,20.7,11.6,2.1,40.3,28846
E01000937,Camden 025B,118,52.3,4.7,31.6,7.8,3.5,47.7,28092
E01000941,Camden 025C,296,47.5,4.9,31.0,12.3,4.4,52.5,23407
E01000942,Camden 025D,295,60.4,5.4,27.5,3.7,3.0,39.6,32028
E01000943,Camden 025E,158,63.7,4.6,21.8,5.8,4.1,36.3,31578
E01000850,Camden 026A,95,63.9,5.2,22.6,4.3,4.1,36.1,44181
E01000851,Camden 026B,189,61.9,4.4,25.1,5.0,3.6,38.1,37265
E01000852,Camden 026C,149,58.8,4.2,29.9,3.6,3.5,41.2,32650
E01000854,Camden 026D,97,41.7,4.2,33.6,12.5,8.0,58.3,29258
E01000915,Camden 027A,221,49.6,4.7,33.3,9.2,3.2,50.4,28527
E01000916,Camden 027B,133,62.6,5.8,19.9,7.8,3.9,37.4,34001
E01000917,Camden 027C,261,51.6,5.8,26.6,12.8,3.2,48.4,24972
E01000920,Camden 027D,153,68.4,5.3,17.3,6.3,2.7,31.6,37883
E01000855,Camden 028A,54,71.5,3.6,17.3,3.7,3.8,28.5,35286
E01000914,Camden 028B,44,67.9,4.4,19.1,5.7,2.9,32.1,38253
E01000918,Camden 028C,131,62.6,6.4,21.1,6.2,3.7,37.4,34647
E01000919,Camden 028D,139,56.9,7.1,25.6,5.8,4.6,43.1,35740
E01000001,City of London 001A,114,84.5,3.7,8.7,0.8,2.3,15.5,58347
E01000002,City of London 001B,64,88.7,3.8,6.6,0.3,0.6,11.3,57159
E01000003,City of London 001C,230,78.4,4.1,12.5,3.3,1.7,21.6,34387
E01000005,City of London 001E,62,51.4,6.0,27.8,10.2,4.7,48.6,24000
E01032739,City of London 001F,6,77.9,3.5,15.5,0.9,2.2,22.1,53017
E01032740,City of London 001G,18,83.1,2.7,10.3,2.2,1.7,16.9,52427
E01001808,Hackney 001A,157,79.5,2.2,3.4,4.1,10.8,20.5,36364
E01001809,Hackney 001B,184,67.9,3.6,5.3,9.7,13.4,32.1,33867
E01001814,Hackney 001C,155,64.3,4.7,8.3,12.5,10.2,35.7,32964
